address,tx_hash,block_number,timestamp,from_addr,to_addr,value_wei,gas_price,gas_used,input_data_prefix,chain
0x0000000000000000000000000000000000a00000,0x0000002a000000000000000000000000000000000000000000000000000019f7,19000113,1704068565,0x0000000000000000000000000000000000f00000,0x0000000000000000000000000000000000a00000,395987956635099200,22612680980,54252,0x,ethereum
0x0000000000000000000000000000000000f00000,0x0000002a000000000000000000000000000000000000000000000000000019f7,19000113,1704068565,0x0000000000000000000000000000000000f00000,0x0000000000000000000000000000000000a00000,395987956635099200,22612680980,54252,0x,ethereum
0x0000000000000000000000000000000000a00001,0x0000002a00000000000000000000000000000000000000000000000000001a06,19000129,1704068759,0x0000000000000000000000000000000000f00000,0x0000000000000000000000000000000000a00001,353296077391272384,22604319705,51826,0x,ethereum
0x0000000000000000000000000000000000f00000,0x0000002a00000000000000000000000000000000000000000000000000001a06,19000129,1704068759,0x0000000000000000000000000000000000f00000,0x0000000000000000000000000000000000a00001,353296077391272384,22604319705,51826,0x,ethereum
0x0000000000000000000000000000000000a00003,0x0000002a00000000000000000000000000000000000000000000000000001a1e,19000157,1704069087,0x0000000000000000000000000000000000f00000,0x0000000000000000000000000000000000a00003,342564803915530752,22240336412,53240,0x,ethereum
0x0000000000000000000000000000000000f00000,0x0000002a00000000000000000000000000000000000000000000000000001a1e,19000157,1704069087,0x0000000000000000000000000000000000f00000,0x0000000000000000000000000000000000a00003,342564803915530752,22240336412,53240,0x,ethereum
0x0000000000000000000000000000000000a00002,0x0000002a00000000000000000000000000000000000000000000000000001a13,19000188,1704069460,0x0000000000000000000000000000000000f00000,0x0000000000000000000000000000000000a00002,357355070207180352,22332430860,55298,0x,ethereum
0x0000000000000000000000000000000000f00000,0x0000002a00000000000000000000000000000000000000000000000000001a13,19000188,1704069460,0x0000000000000000000000000000000000f00000,0x0000000000000000000000000000000000a00002,357355070207180352,22332430860,55298,0x,ethereum
0x0000000000000000000000000000000000a00004,0x0000002a00000000000000000000000000000000000000000000000000001a27,19000199,1704069589,0x0000000000000000000000000000000000f00000,0x0000000000000000000000000000000000a00004,347987748700950272,22760703038,59058,0x,ethereum
0x0000000000000000000000000000000000f00000,0x0000002a00000000000000000000000000000000000000000000000000001a27,19000199,1704069589,0x0000000000000000000000000000000000f00000,0x0000000000000000000000000000000000a00004,347987748700950272,22760703038,59058,0x,ethereum
0x00000000000000000000000000000000005000ac,0x0000002a00000000000000000000000000000000000000000000000000001a28,19000249,1704070191,0x00000000000000000000000000000000005000ac,0x0000000000000000000000000000000000a00004,84002177718475456,20579305874,60485,0xa9059cbb,ethereum
0x0000000000000000000000000000000000a00004,0x0000002a00000000000000000000000000000000000000000000000000001a28,19000249,1704070191,0x00000000000000000000000000000000005000ac,0x0000000000000000000000000000000000a00004,84002177718475456,20579305874,60485,0xa9059cbb,ethereum
0x0000000000000000000000000000000000a00008,0x0000002a00000000000000000000000000000000000000000000000000001a55,19000290,1704070688,0x0000000000000000000000000000000000f00000,0x0000000000000000000000000000000000a00008,320325432745296704,23490139363,56720,0x,ethereum
0x0000000000000000000000000000000000f00000,0x0000002a00000000000000000000000000000000000000000000000000001a55,19000290,1704070688,0x0000000000000000000000000000000000f00000,0x0000000000000000000000000000000000a00008,320325432745296704,23490139363,56720,0x,ethereum
0x0000000000000000000000000000000000a00006,0x0000002a00000000000000000000000000000000000000000000000000001a3d,19000294,1704070736,0x0000000000000000000000000000000000f00000,0x0000000000000000000000000000000000a00006,363682286183583680,22325292553,57458,0x,ethereum
0x0000000000000000000000000000000000f00000,0x0000002a00000000000000000000000000000000000000000000000000001a3d,19000294,1704070736,0x0000000000000000000000000000000000f00000,0x0000000000000000000000000000000000a00006,363682286183583680,22325292553,57458,0x,ethereum
0x0000000000000000000000000000000000a00009,0x0000002a00000000000000000000000000000000000000000000000000001a64,19000319,1704071031,0x0000000000000000000000000000000000f00000,0x0000000000000000000000000000000000a00009,348918895977109888,22071937246,56668,0x,ethereum
