address,is_sybil,cluster_id,operator_id,difficulty_level,difficulty_tags
0x0000000000000000000000000000000000100000,0,-1,-1,1,L1
0x0000000000000000000000000000000000100001,0,-1,-1,1,L1
0x0000000000000000000000000000000000100002,0,-1,-1,1,L1
0x0000000000000000000000000000000000100003,0,-1,-1,1,L1
0x0000000000000000000000000000000000100004,0,-1,-1,1,L1
0x0000000000000000000000000000000000100005,0,-1,-1,1,L1
0x0000000000000000000000000000000000100006,0,-1,-1,1,L1
0x0000000000000000000000000000000000100007,0,-1,-1,1,L1
0x0000000000000000000000000000000000100008,0,-1,-1,1,L1
0x0000000000000000000000000000000000100009,0,-1,-1,1,L1
0x000000000000000000000000000000000010000a,0,-1,-1,1,L1
0x000000000000000000000000000000000010000b,0,-1,-1,1,L1
0x000000000000000000000000000000000010000c,0,-1,-1,1,L1
0x000000000000000000000000000000000010000d,0,-1,-1,1,L1
0x000000000000000000000000000000000010000e,0,-1,-1,1,L1
0x000000000000000000000000000000000010000f,0,-1,-1,1,L1
0x0000000000000000000000000000000000100010,0,-1,-1,1,L1
0x0000000000000000000000000000000000100011,0,-1,-1,1,L1
0x0000000000000000000000000000000000100012,0,-1,-1,1,L1
0x0000000000000000000000000000000000100013,0,-1,-1,1,L1
0x0000000000000000000000000000000000100014,0,-1,-1,1,L1
0x0000000000000000000000000000000000100015,0,-1,-1,1,L1
0x0000000000000000000000000000000000100016,0,-1,-1,1,L1
0x0000000000000000000000000000000000100017,0,-1,-1,1,L1
0x0000000000000000000000000000000000100018,0,-1,-1,1,L1
0x0000000000000000000000000000000000100019,0,-1,-1,1,L1
0x000000000000000000000000000000000010001a,0,-1,-1,1,L1
0x000000000000000000000000000000000010001b,0,-1,-1,1,L1
0x000000000000000000000000000000000010001c,0,-1,-1,1,L1
0x000000000000000000000000000000000010001d,0,-1,-1,1,L1
0x000000000000000000000000000000000010001e,0,-1,-1,1,L1
0x000000000000000000000000000000000010001f,0,-1,-1,1,L1
0x0000000000000000000000000000000000100020,0,-1,-1,1,L1
0x0000000000000000000000000000000000100021,0,-1,-1,1,L1
0x0000000000000000000000000000000000100022,0,-1,-1,1,L1
0x0000000000000000000000000000000000100023,0,-1,-1,1,L1
0x0000000000000000000000000000000000100024,0,-1,-1,1,L1
0x0000000000000000000000000000000000100025,0,-1,-1,1,L1
0x0000000000000000000000000000000000100026,0,-1,-1,1,L1
0x0000000000000000000000000000000000100027,0,-1,-1,1,L1
0x0000000000000000000000000000000000100028,0,-1,-1,1,L1
0x0000000000000000000000000000000000100029,0,-1,-1,1,L1
0x000000000000000000000000000000000010002a,0,-1,-1,1,L1
0x000000000000000000000000000000000010002b,0,-1,-1,1,L1
0x000000000000000000000000000000000010002c,0,-1,-1,1,L1
